id,name,city,studytime,failures,absences,Medu,Fedu,G1,G2,G3
23A91A1000,Fatima Jani,Bangalore,3,2,9,2,0,59,61,62
23A91A1001,Neha Joshi,Ahmedabad,3,1,15,3,4,62,67,67
23A91A1002,Rahul Mishra,Hyderabad,1,3,18,0,2,74,79,75
23A91A1003,Fatima Mishra,Vijayawada,4,3,13,4,1,56,60,58
23A91A1004,Sneha Mishra,Jaipur,2,3,7,1,0,79,74,71
23A91A1005,Ravi Mishra,Hyderabad,4,3,12,2,0,49,48,43
23A91A1006,Kiran Khan,Bangalore,3,1,18,2,1,71,75,74
23A91A1007,Ali Verma,Vijayawada,4,3,6,3,4,71,75,71
23A91A1008,Divya Mishra,Pune,3,0,1,0,1,69,72,72
23A91A1009,Rahul Mishra,Mumbai,1,3,19,0,1,58,55,55
23A91A1010,Divya Mishra,Mumbai,2,3,6,2,2,77,80,77
23A91A1011,Roshan Jani,Jaipur,1,1,1,4,0,67,65,60
23A91A1012,Roshan Khan,Bangalore,4,2,8,2,0,84,87,87
23A91A1013,Kiran Mishra,Bangalore,1,2,5,2,2,46,45,43
23A91A1014,Divya Jani,Kolkata,2,0,2,3,2,84,87,92
23A91A1015,Ali Patel,Bangalore,2,1,16,0,3,83,87,82
23A91A1016,Kiran Desai,Kolkata,2,3,12,0,1,76,75,72
23A91A1017,Anil Reddy,Vijayawada,2,1,1,2,2,52,49,52
23A91A1018,Neha Mishra,Bangalore,1,3,2,0,1,56,58,62
23A91A1019,Neha Mishra,Chennai,3,3,20,3,2,92,91,89
23A91A1020,Roshan Sharma,Bangalore,1,0,11,0,1,46,46,44
23A91A1021,Neha Desai,Delhi,4,2,8,4,1,51,50,45
23A91A1022,Divya Patel,Vijayawada,1,2,4,4,2,47,49,49
23A91A1023,Rahul Joshi,Delhi,1,0,13,4,2,81,85,87
23A91A1024,Anil Choudhary,Jaipur,4,0,6,0,2,91,94,97
23A91A1025,Neha Choudhary,Hyderabad,2,3,9,1,1,78,80,80
23A91A1026,Ravi Reddy,Bangalore,4,2,18,2,0,47,50,45
23A91A1027,Roshan Desai,Pune,2,3,12,3,3,83,88,92
23A91A1028,Anil Reddy,Bangalore,4,0,18,2,1,74,75,74
23A91A1029,Sneha Joshi,Hyderabad,4,1,10,0,2,79,83,82
23A91A1030,Ravi Desai,Chennai,3,1,0,4,3,69,69,71
23A91A1031,Ravi Choudhary,Vijayawada,2,2,0,0,0,69,74,74
